2017-08-27 04:31:02,420 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.1.Final-redhat-1
2017-08-27 04:31:02,847 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final-redhat-1
2017-08-27 04:31:02,951 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) starting
2017-08-27 04:31:04,490 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2017-08-27 04:31:04,516 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.3.6.Final-redhat-1
2017-08-27 04:31:04,547 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.3.6.Final-redhat-1
2017-08-27 04:31:04,766 INFO  [org.jboss.remoting] (MSC service thread 1-2) JBoss Remoting version 4.0.18.Final-redhat-1
2017-08-27 04:31:04,915 INFO  [org.jboss.as.remoting] (MSC service thread 1-2) WFLYRMT0001: Listening on 0.0.0.0:9999
2017-08-27 04:31:08,592 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=primary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2017-08-27 04:31:08,594 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=secondary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2017-08-27 04:31:08,594 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=singleton-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2017-08-27 04:31:09,628 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0060: Http management interface listening on http://0.0.0.0:9990/management
2017-08-27 04:31:09,628 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0051: Admin console listening on http://0.0.0.0:9990
2017-08-27 04:31:09,629 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) (Host Controller) started in 8192ms - Started 51 of 51 services (14 services are lazy, passive or on-demand)
2017-08-27 04:31:47,589 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 36) WFLYHC0019: Registered remote slave host "host1", JBoss JBoss EAP 7.0.0.GA (WildFly 2.1.2.Final-redhat-1)
2017-08-27 04:32:36,863 INFO  [org.jboss.as.domain.controller] (Host Controller Service Threads - 37) WFLYHC0019: Registered remote slave host "host2", JBoss JBoss EAP 7.0.0.GA (WildFly 2.1.2.Final-redhat-1)
2017-08-27 04:38:16,341 INFO  [org.jboss.as.repository] (management-handler-thread - 7) WFLYDR0001: Content added at location /home/jboss/eap7_labs/exercise/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/cb/e0a3a1e144bf6d37dba6cba8ccbc46000fef39/content
2017-08-27 04:40:34,627 INFO  [org.jboss.as.repository] (management-handler-thread - 9) WFLYDR0001: Content added at location /home/jboss/eap7_labs/exercise/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/1d/8318b61c6558bf0023634a185a3c055e548813/content
2017-08-27 04:41:23,738 INFO  [org.jboss.as.repository] (management-handler-thread - 11) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/exercise/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/cb/e0a3a1e144bf6d37dba6cba8ccbc46000fef39/content
2017-08-27 04:41:45,139 INFO  [org.jboss.as.repository] (management-handler-thread - 12) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/exercise/eap7-dev-labs/03_Operating_Modes/domainLab/host0/domain/data/content/1d/8318b61c6558bf0023634a185a3c055e548813/content
2017-08-27 04:43:39,672 INFO  [org.jboss.as.domain.controller] (management task-4) WFLYHC0026: Unregistered remote slave host "host1"
2017-08-27 04:43:41,603 WARN  [org.jboss.as.domain.controller] (MSC service thread 1-4) WFLYHC0030: Connection to remote host "host2" closed unexpectedly
2017-08-27 04:43:42,345 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) stopped in 1483ms
