2017-08-27 04:31:40,263 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.1.Final-redhat-1
2017-08-27 04:31:40,685 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final-redhat-1
2017-08-27 04:31:40,785 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) starting
2017-08-27 04:31:42,346 INFO  [org.xnio] (MSC service thread 1-4) XNIO version 3.3.6.Final-redhat-1
2017-08-27 04:31:42,395 INFO  [org.xnio.nio] (MSC service thread 1-4) XNIO NIO Implementation Version 3.3.6.Final-redhat-1
2017-08-27 04:31:42,571 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 4.0.18.Final-redhat-1
2017-08-27 04:31:42,647 INFO  [org.jboss.as.remoting] (MSC service thread 1-2) WFLYRMT0001: Listening on 0.0.0.0:10999
2017-08-27 04:31:47,331 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 5) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=secondary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2017-08-27 04:31:47,332 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 5) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=primary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2017-08-27 04:31:47,614 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0148: Connected to master host controller at remote://127.0.0.1:9999
2017-08-27 04:31:47,756 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server Server11
2017-08-27 04:31:47,760 WARN  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-08-27 04:31:47,910 WARN  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-08-27 04:31:51,352 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:Server11] connected using connection [Channel ID 2bd5669c (inbound) of Remoting connection 7afc84a8 to /10.0.0.1:56536]
2017-08-27 04:31:51,465 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server Server12
2017-08-27 04:31:51,465 WARN  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-08-27 04:31:51,505 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server Server11
2017-08-27 04:31:51,709 WARN  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-08-27 04:31:59,530 INFO  [org.jboss.as.host.controller] (management task-5) WFLYHC0021: Server [Server:Server12] connected using connection [Channel ID 0438b476 (inbound) of Remoting connection 55d76c0d to /10.0.0.1:57143]
2017-08-27 04:31:59,607 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server Server12
2017-08-27 04:31:59,650 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) (Host Controller) started in 20272ms - Started 43 of 44 services (13 services are lazy, passive or on-demand)
2017-08-27 04:41:23,688 INFO  [org.jboss.as.repository] (Host Controller Service Threads - 43) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/exercise/eap7-dev-labs/03_Operating_Modes/domainLab/host1/domain/data/content/cb/e0a3a1e144bf6d37dba6cba8ccbc46000fef39/content
2017-08-27 04:41:45,132 INFO  [org.jboss.as.repository] (Host Controller Service Threads - 53) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/exercise/eap7-dev-labs/03_Operating_Modes/domainLab/host1/domain/data/content/1d/8318b61c6558bf0023634a185a3c055e548813/content
2017-08-27 04:43:39,689 INFO  [org.jboss.as.host.controller] (management task-8) WFLYHC0029: Unregistered at domain controller
2017-08-27 04:43:40,351 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 62) WFLYHC0024: Stopping server Server12
2017-08-27 04:43:40,483 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 62) WFLYHC0024: Stopping server Server11
2017-08-27 04:43:44,619 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0027: Unregistering server Server12
2017-08-27 04:43:45,293 INFO  [org.jboss.as.host.controller] (management task-3) WFLYHC0027: Unregistering server Server11
2017-08-27 04:43:46,430 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server Server12
2017-08-27 04:43:46,487 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server Server11
2017-08-27 04:43:46,648 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0050: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) stopped in 6379ms
